Title,Genre,Director,Actors,Budget,Runtime,Votes,Rating
Inception,Sci-Fi,Christopher Nolan,Leonardo DiCaprio,160,148,2300000,8.8
Avengers,Action,Joss Whedon,Robert Downey Jr.,220,143,1400000,8.0
Bahubali,Drama,S. S. Rajamouli,Prabhas,28,159,950000,8.2
Jersey,Sports,Gowtam Tinnanuri,Nani,25,157,400000,7.6
KGF,Action,Prashanth Neel,Yash,80,168,1100000,8.3
Interstellar,Sci-Fi,Christopher Nolan,Matthew McConaughey,165,169,1800000,8.6
3 Idiots,Comedy,Rajkumar Hirani,Aamir Khan,55,171,1700000,8.4
Kantara,Drama,Rishab Shetty,Rishab Shetty,16,148,600000,8.3
RRR,Action,S. S. Rajamouli,Ram Charan,72,175,1300000,8.0
Dangal,Sports,Nitesh Tiwari,Aamir Khan,70,161,1600000,8.4
